Gene,WT_a,WT_b,null_a,null_b,R61K_a,R61K_b,R61H_a,R61H_b,F71Y_a,F71Y_b,Start,End,Strand,Reference,Locus,Product,Note
yvzA,615,929,462,856,484,982,416,1114,797,965,3579679,3580038,-,chr,BSU34830,hypothetical protein,Evidence 5: No homology to any previously reported sequences
yvcB,3404,7764,2556,7052,2388,7075,2198,7204,5491,6591,3580053,3581963,-,chr,BSU34840,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yvcA,1112,2787,814,2479,907,2640,760,2577,1960,2497,3581965,3582690,-,chr,BSU34850,lipoprotein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 17590234; Product type lp : lipoprotein"
hisI,9353,9866,9247,9492,8477,10506,8439,12845,10976,12038,3582936,3583565,-,chr,BSU34860,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase,catalyzes the formation of 1-(5-phosphoribosyl)-AMP from 1-(5-phosphoribosyl)-ATP and the subsequent formation of 1-(5-phosphoribosyl)-5-((5- phosphoribosylamino)methylideneamino)imidazole-4- carboxamide from 1-(5-phosphoribosyl)-AMP in histidine biosynthesis
hisF,10825,10312,10572,10214,9938,10771,9574,13169,10955,12351,3583562,3584320,-,chr,BSU34870,imidazole glycerol phosphate synthase subunit HisF,"catalyzes the conversion of 5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]- 1-(5-phosphoribosyl)imidazole-4-carboxamideand glutamine to imidazole-glycerol phosphate, 5-aminoimidazol-4-carboxamideribonucleotide and glutamate; the HisF subunit acts as a cyclase"
hisA,9475,9096,9154,9057,8212,10084,8208,11661,9531,11925,3584317,3585054,-,chr,BSU34880,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase,catalyzes the formation of 5-(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino-l- (5-phosphoribosyl)imidazole-4-carboxamide from 1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide
hisH,8016,8949,7182,8789,6771,9519,6457,10952,8392,11222,3585051,3585689,-,chr,BSU34890,imidazole glycerol phosphate synthase subunit HisH,"with HisF IGPS catalyzes the conversion of phosphoribulosyl-formimino-5-aminoimidazole-4-carboxamide ribonucleotide phosphate and glutamine to imidazole-glycerol phosphate, 5-aminoimidazol-4-carboxamide ribonucleotide, and glutamate in histidine biosynthesis; the HisH subunit provides the glutamine amidotransferase activity that produces the ammonia necessary to HisF for the synthesis of imidazole-glycerol phosphate and 5-aminoimidazol-4-carboxamide ribonucleotide"
hisB,8221,7427,7825,7771,7565,8327,7413,9289,7641,9133,3585690,3586274,-,chr,BSU34900,imidazoleglycerol-phosphate dehydratase,catalyzes the dehydration of D-erythro-1-(imidazol-4-yl)glycerol 3-phosphate to 3-(imidazol-4-yl)-2-oxopropyl phosphate in histidine biosynthesis
hisD,11441,11066,10683,11368,10040,12311,10101,13799,10503,14519,3586271,3587554,-,chr,BSU34910,histidinol dehydrogenase,catalyzes the oxidation of L-histidinol to L-histidinaldehyde and then to L-histidine in histidine biosynthesis; functions as a dimer
hisG,5900,6021,5832,6398,5262,6970,5320,8247,6708,8037,3587551,3588192,-,chr,BSU34920,ATP phosphoribosyltransferase,short form of enzyme; requires HisZ for function; catalyzes the formation of N'-5'-phosphoribosyl-ATP from phosphoribosyl pyrophosphate; crucial role in histidine biosynthesis; forms heteromultimer of HisG and HisZ
hisZ,8817,8728,8531,8824,7776,9863,7861,11142,9226,11723,3588185,3589360,-,chr,BSU34930,ATP phosphoribosyltransferase,May allow the feedback regulation of ATP phosphoribosyltransferase activity by histidine
yvpB,425,897,477,985,432,886,391,1012,756,814,3589611,3590363,+,chr,BSU34940,hydrolase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
pelC,221,202,224,200,194,244,187,318,240,240,3590603,3591268,+,chr,BSU34950,secreted pectate lyase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10658655, 16514142; Product type e: enzyme"
yvoF,1408,1422,1119,1256,1065,1172,1059,1547,1350,1496,3591288,3591806,-,chr,BSU34960,O-acetyltransferase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
hprP,1700,2812,1446,2218,1394,2360,1261,2625,2266,2435,3591810,3592460,-,chr,BSU34970,pyrophosphatase PpaX,hydrolyzes pyrophosphate formed during serine-46-phosphorylated HPr dephosphorylation
yvoD,2463,2257,2071,1888,1971,2010,1947,2322,1942,2211,3592457,3593395,-,chr,BSU34980,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pm: membrane component"
lgt,1985,2106,1654,1639,1605,1777,1572,2017,1620,1950,3593419,3594228,-,chr,BSU34990,prolipoprotein diacylglyceryl transferase,transfers the N-acyl diglyceride moiety to the prospective N-terminal cysteine in prolipoprotein
hprK,2045,2405,1648,2010,1585,2264,1468,2494,1943,2350,3594242,3595174,-,chr,BSU35000,HPr kinase/phosphorylase,catalyzes the phosphorylation of the phosphocarrier protein HPr of the bacterial phosphotransferase system
nagA,1114,794,805,679,795,833,750,836,704,756,3595356,3596546,+,chr,BSU35010,N-acetylglucosamine-6-phosphate deacetylase,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 14557261; Product type e: enzyme
nagBA,692,470,531,466,526,518,516,519,458,497,3596543,3597271,+,chr,BSU35020,N-acetylglucosamine-6-phosphate isomerase,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15755726; Product type e: enzyme
yvoA,384,319,314,265,266,307,278,369,274,262,3597289,3598020,+,chr,BSU35030,GntR family transcriptional regulator,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 16207374; Product type r: regulator
yvnB,571,493,462,340,587,490,426,489,442,521,3598040,3601909,-,chr,BSU35040,exported phosphohydrolase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
yvnA,179,190,118,169,136,231,116,218,176,233,3602074,3602547,+,chr,BSU35050,transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
cypX,1024,625,644,416,650,506,571,471,432,498,3602588,3603805,-,chr,BSU35060,monooxygenase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
yvmC,308,399,137,225,162,343,165,281,297,340,3603821,3604567,-,chr,BSU35070,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yvmB,150,298,124,191,157,286,126,242,216,307,3604993,3605502,+,chr,BSU35080,transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
yvmA,752,700,628,454,709,650,547,633,541,745,3605523,3606734,+,chr,BSU35090,efflux transporter,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
yvlD,1196,774,857,553,851,689,777,805,693,674,3606762,3607121,-,chr,BSU35100,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pm: membrane component"
yvlC,995,1528,670,1169,582,1301,561,1314,1169,1254,3607123,3607320,-,chr,BSU35110,regulator (stress mediated),"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
yvlB,5888,7980,3713,5698,3933,6504,3406,6769,6179,6837,3607325,3608422,-,chr,BSU35120,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yvlA,1750,1490,1093,921,1112,982,948,1336,1110,1227,3608447,3608773,-,chr,BSU35130,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yvkN,159,251,139,225,140,264,163,226,195,221,3608991,3609221,+,chr,BSU35140,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yvzB,143,157,139,145,153,187,145,201,122,157,3609420,3609902,-,chr,BSU35150,flagellin,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 16936039; Product type ps : structure"
uvrA,4734,4615,4995,4290,4003,4468,4374,5291,4175,4518,3610064,3612937,-,chr,BSU35160,excinuclease ABC subunit A,"The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 uvrA and 2 uvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by uvrB, the uvrA molecules dissociate"
uvrB,2290,2694,2284,2635,2061,2844,2170,3292,2450,2907,3612945,3614930,-,chr,BSU35170,excinuclease ABC subunit B,"The UvrABC repair system catalyzes the recognition and processing of DNA lesions. The beta-hairpin of the Uvr-B subunit is inserted between the strands, where it probes for the presence of a lesion"
csbA,205,87,218,72,141,97,174,119,75,114,3615116,3615346,-,chr,BSU35180,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 1744042; Product type pm :  membrane component"
yvkC,214,223,172,180,196,176,137,228,177,225,3615793,3618288,+,chr,BSU35190,phosphotransferase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
yvkB,175,203,136,139,136,246,115,214,172,200,3618364,3618933,+,chr,BSU35200,TetR/AcrR family transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
yvkA,322,172,222,145,258,154,220,154,133,162,3618964,3620298,+,chr,BSU35210,efflux transporter,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
minJ,2180,2548,1893,2038,1722,2213,1655,2315,2019,1991,3620346,3621539,-,chr,BSU35220,topological determinant of cell division,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15849754, 16030230, 16850406, 18976281, 19019154; Product type cp: cell process"
swrAA,146,382,108,264,91,288,90,271,233,304,3621618,3621956,-,chr,BSU35230,,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15066026, 16030230; Product type cp: cell process"
swrAA,37,120,29,82,37,72,29,81,62,94,3621931,3622047,-,chr,BSU35239,,Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; Product type cp: cell process
ctpB,75,98,62,57,82,101,56,99,78,105,3622356,3623798,-,chr,BSU35240,PDZ-containing carboxyl-terminal protease processing protease,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 14526016, 17557826; Product type e: enzyme"
ftsX,4631,6416,3645,5496,3726,6133,3481,6320,5646,6093,3623938,3624828,-,chr,BSU35250,cell-division ABC transporter,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 16352817, 17071757, 17307852, 18573177; Product type cp: cell process"
ftsE,3516,6784,2661,5052,3024,5856,2565,5959,5594,6185,3624821,3625507,-,chr,BSU35260,cell-division ABC transporter ATP-binding protein,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 16352817, 17071757, 17307852, 18573177; Product type cp: cell process"
cccB,1063,668,773,557,698,684,592,791,768,817,3625741,3626079,-,chr,BSU35270,cytochrome c551,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10473570; Product type f: factor
yvjA,228,158,107,134,157,126,142,117,132,176,3626128,3626973,-,chr,BSU35280,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 10473570, 15849754, 16850406; Product type pm:  membrane component"
prfB,8284,12235,6718,10140,6254,11703,6041,11467,10449,11955,3627139,3628240,-,chr,BSU35290,peptide chain release factor 2,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 1408743, 9696765; Product type f: factor"
secA,17843,23509,15563,20957,14456,23219,14433,23761,20592,23460,3628310,3630835,-,chr,BSU35300,preprotein translocase subunit SecA,functions in protein export; can interact with acidic membrane phospholipids and the SecYEG protein complex; binds to preproteins; binds to ATP and undergoes a conformational change to promote membrane insertion of SecA/bound preprotein; ATP hydrolysis appears to drive release of the preprotein from SecA and deinsertion of SecA from the membrane; additional proteins SecD/F/YajC aid SecA recycling; exists in an equilibrium between monomers and dimers; may possibly form higher order oligomers; proteins in this cluster correspond SecA1; SecA2 is not essential and seems to play a role in secretion of a subset of proteins
yvyD,1663,2373,3177,4515,2129,3954,2475,5338,3276,3258,3631003,3631572,-,chr,BSU35310,ribosome-associated sigma 54 modulation protein,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 11948165, 16324148, 17274076, 17277072; Product type f: factor"
yvzG,103,175,124,206,128,235,100,219,160,179,3631763,3632140,-,chr,BSU35319,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
fliT,146,223,99,184,105,240,98,201,187,229,3632150,3632491,-,chr,BSU35320,flagellar assembly protein FliT involved in control of flagella expression,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 12354229, 16952964; Product type s : structure"
fliS,159,207,118,159,133,156,124,188,147,202,3632488,3632889,-,chr,BSU35330,flagellar protein FliS,flagellin specific chaperone
fliD,400,719,363,648,306,613,341,756,582,787,3632911,3634407,-,chr,BSU35340,flagellar capping protein,involved in flagellin assembly
yvyC,58,136,61,121,46,85,54,149,86,122,3634425,3634754,-,chr,BSU35350,flagellar protein FlaG,possibly involved in flagella export
hag,77,139,56,104,72,119,75,131,125,131,3634987,3635901,-,chr,BSU35360,flagellin,structural flagella protein
csrA,68,98,68,77,47,113,51,134,107,101,3636046,3636270,-,chr,BSU35370,carbon storage regulator,affects carbohydrate metabolism; has regulatory role in many processes
yviF,290,619,233,454,281,546,264,595,521,588,3636264,3636695,-,chr,BSU35380,flagellar assembly protein FliW,binds to flagellin and appears to stabilize flagellin during flagella assembly
yviE,181,323,152,219,156,290,131,252,216,287,3636716,3637291,-,chr,BSU35390,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 15033535
flgL,495,846,419,754,478,801,394,854,657,918,3637338,3638234,-,chr,BSU35400,flagellar hook-associated protein FlgL,with FlgK acts as a hook filament junction protein to join the flagellar filament to the hook
flgK,1019,1530,874,1455,856,1485,766,1610,1238,1605,3638245,3639768,-,chr,BSU35410,flagellar hook-associated protein FlgK,with FlgL acts as a hook filament junction protein to join the flagellar filament to the hook
yvyG,277,460,265,428,238,460,218,477,363,482,3639787,3640269,-,chr,BSU35420,flagellar protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type ps:  structure"
flgM,105,283,96,216,100,207,107,200,196,272,3640285,3640551,-,chr,BSU35430,anti-sigma factor repressor of sigma(D)-dependent transcription,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10207036, 10322161, 14762011, 16673084; Product type r: regulator"
yvyF,347,609,271,514,239,656,232,573,476,577,3640632,3641051,-,chr,BSU35440,regulator of flagella formation,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 9696775; Product type pr :  regulator"
comFC,460,694,366,640,375,661,313,779,591,661,3641125,3641814,-,chr,BSU35450,component of the DNA transport apparatus,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 16009133, 8045879, 8412657; Product type pt:  transporter"
comFB,179,205,161,209,120,176,139,227,203,215,3641811,3642107,-,chr,BSU35460,hypothetical protein,"Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 16009133, 8045879, 8412657"
comFA,207,231,187,227,209,286,194,280,251,260,3642167,3643558,-,chr,BSU35470,helicase competence protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11359569, 12123453, 16009133, 8045895; Product type e: enzyme"
yviA,2134,2986,1520,2273,1528,2797,1349,2730,2647,2656,3643664,3644509,-,chr,BSU35480,hypothetical protein,"Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 17114254, 3926750"
degU,4434,4907,3357,4176,2833,4608,2754,4527,4247,4420,3644607,3645296,-,chr,BSU35490,two-component response regulator,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10908654, 11557812, 12471443, 12950930, 14563871, 15342569, 15598897; Product type r: regulator"
degS,2407,4258,1952,3893,1643,3804,1776,4346,3543,4067,3645379,3646536,-,chr,BSU35500,two-component sensor histidine kinase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11717295, 12183369, 12471443, 12950930, 14563871; Product type rc: receptor"
yvyE,1785,3154,1149,2227,1398,2864,1183,3007,2704,3218,3646753,3647406,+,chr,BSU35510,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 11116084
yvhJ,4202,6204,2752,4236,3439,5749,2826,5925,5806,6595,3647406,3648581,+,chr,BSU35520,membrane bound transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
tagO,4744,4865,3841,4048,3878,4475,3598,4664,4050,4281,3648654,3649730,-,chr,BSU35530,UDP-N-acetylglucosamine:undecaprenyl-P N-acetylglucosaminyl-1-P transferase,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 12101296, 12682299, 15849754, 16850406, 17012386, 18156271; Product type e: enzyme"
tuaH,247,199,236,139,131,132,173,213,113,244,3649875,3651068,-,chr,BSU35540,glycosyltransferase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 10048024, 11994144, 4975313; Product type pe:  enzyme"
tuaG,177,193,174,164,111,135,142,214,128,214,3651097,3651855,-,chr,BSU35550,glycosyltransferase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 10048024, 11994144, 4975313; Product type pe:  enzyme"
tuaF,143,172,119,156,89,121,115,213,103,206,3651879,3652559,-,chr,BSU35560,hydrolase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 10048024, 11994144, 4975313; Product type pe:  enzyme"
tuaE,398,216,380,200,170,195,254,246,114,277,3652588,3654054,-,chr,BSU35570,polymerase of teichuronic acid repeating units,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 10048024, 11994144, 15849754, 16850406, 4975313; Product type pe:  enzyme"
tuaD,515,264,359,218,156,209,255,224,120,361,3654139,3655524,-,chr,BSU35580,UDP-glucose 6-dehydrogenase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10376820, 10913081, 12970183, 16000785; Product type e: enzyme"
tuaC,466,213,334,160,144,107,224,162,82,290,3655586,3656755,-,chr,BSU35590,glycosyltransferase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 10048024, 11994144, 4975313; Product type pe:  enzyme"
tuaB,696,256,344,164,132,101,209,187,61,335,3656752,3658203,-,chr,BSU35600,colanic acid exporter,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 10048024, 11994144, 15849754, 16850406; Product type pt:  transporter"
tuaA,61,29,33,14,7,16,11,20,9,44,3658259,3658408,-,chr,BSU35609,,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 7704262; Product type pf :  factor"
tuaA,251,137,135,60,25,41,83,74,19,139,3658407,3658892,-,chr,BSU35610,,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 10048024, 11994144; Product type pe: enzyme"
lytC,256,447,219,425,246,421,239,524,340,438,3659119,3660609,-,chr,BSU35620,N-acetylmuramoyl-L-alanine amidase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 1357079, 14594841, 17298895, 9537764; Product type e: enzyme"
lytB,309,573,296,528,324,529,292,588,443,587,3660648,3662765,-,chr,BSU35630,modifier protein of major autolysin LytC,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 1357079; Product type r : regulator
lytA,26,96,27,109,42,87,28,115,81,87,3662789,3663097,-,chr,BSU35640,membrane bound lipoprotein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10974124, 1357079; Product type lp: lipoprotein"
lytR,1844,2628,1349,2183,1336,2233,1210,2725,2351,2293,3663281,3664201,+,chr,BSU35650,membrane-bound transcriptional regulator LytR,attenuator function for control of operon expression
mnaA,1396,1427,724,828,865,1170,777,1057,1112,1116,3664241,3665383,-,chr,BSU35660,UDP-N-acetylmannosamine 2-epimerase,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 12107153; Product type e: enzyme
gtaB,6941,7595,6095,6064,5052,7183,5190,7465,6898,7098,3665629,3666507,+,chr,BSU35670,UTP-glucose-1-phosphate uridylyltransferase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 17662947, 2846750, 8126437, 8320212, 9658024; Product type e: enzyme"
yvzH,82,99,105,125,106,117,87,112,77,90,3666933,3667016,-,chr,BSU35679,,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 7704262; Product type pe :  enzyme"
ggaB,1914,6968,2056,9788,1693,8479,1869,8025,5137,6307,3667209,3669911,-,chr,BSU35680,poly(glucosyl N-acetylgalactosamine 1-phosphate) glucosyltransferase,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 16735734; Product type e: enzyme
ggaA,713,2374,796,3294,582,2954,650,2641,1639,2134,3670035,3671375,-,chr,BSU35690,poly(glucosyl N-acetylgalactosamine 1-phosphate) glucosyltransferase,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 16735734, 7704262; Product type e: enzyme"
yvzI,58,240,48,280,42,260,68,200,155,154,3671416,3671622,-,chr,BSU35698,,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 7704262; Product type pe :  enzyme"
yvzE,214,216,177,145,174,203,185,233,239,242,3672929,3673525,+,chr,BSU35699,,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
tagH,5909,11734,4076,7741,5168,10317,4331,9576,8974,10903,3673564,3675147,-,chr,BSU35700,ATP-binding teichoic acid precursor transporter component,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 12682299, 17012386, 18156271, 7565096; Product type t: transporter"
tagG,2765,3784,1782,2502,2198,3439,1836,2769,2765,3708,3675167,3675994,-,chr,BSU35710,teichoic acid precursors permease,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 12682299, 15849754, 16850406, 17012386, 18156271, 7565096; Product type t: transporter"
tagF,8464,20587,4942,13232,5984,17607,5216,14907,12962,17903,3676159,3678399,-,chr,BSU35720,CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 12682299, 16141206, 16689786, 17012386; Product type e: enzyme"
tagE,5743,15696,3400,10532,3966,13705,3438,12174,10385,14728,3678399,3680420,-,chr,BSU35730,UDP-glucose:polyglycerol phosphate alpha-glucosyltransferase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 12682299, 16141206, 16689786, 17012386, 2507871, 9457886; Product type e : enzyme"
tagD,2700,5506,2047,4464,1724,5160,1722,4920,4284,4697,3680581,3680970,-,chr,BSU35740,glycerol-3-phosphate cytidylyltransferase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11673441, 12637027, 12637499, 12682299, 16141206, 16689786, 17012386; Product type e: enzyme"
tagA,3719,4432,2881,3534,3066,3871,2662,4092,3292,3989,3681370,3682140,+,chr,BSU35750,"N-acetylmannosamine (ManNAc) C4 hydroxyl of a membrane-anchored N-acetylglucosaminyl diphospholipid (GlcNAc-pp-undecaprenyl, lipid I) glycosyltransferase","Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 12682299, 16141206, 16689786, 16953575, 17012386; Product type e: enzyme"
tagB,1613,3299,1078,2335,1273,2755,1022,2782,2341,2970,3682173,3683318,+,chr,BSU35760,teichoic acid primase,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 12682299, 16141206, 16150696, 16689786, 17012386, 18156271; Product type e: enzyme"
tagC,198,363,250,418,221,396,192,439,307,306,3683438,3684766,+,chr,BSU35770,polyglycerol phosphate assembly and export protein (teichoic acid biosynthesis),"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 16269821, 7952180; Product type pe: enzyme"
lytD,432,332,421,306,488,335,338,482,339,402,3684826,3687468,-,chr,BSU35780,exported N-acetylglucosaminidase (major autolysin) (CWBP90),"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 9537764, 10206711; Product type e: enzyme"
yvyI,695,1281,573,831,547,994,430,1363,1139,1115,3687597,3688547,-,chr,BSU35790,phosphohexomutase ; cupin family,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 10704478, 7581999; Product type e: enzyme"
gerBA,77,64,72,55,95,94,72,59,41,56,3688812,3690263,+,chr,BSU35800,germinant receptor B,"Evidence 1c: Function experimentally demonstrated in the studied genus; PubMedId: 10411756, 15774895, 3110007, 8012571; Product type rc: receptor"
gerBB,61,50,44,49,74,72,42,46,31,48,3690269,3691375,+,chr,BSU35810,germinant receptor B,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15774895, 15849754, 16352818, 16850406; Product type rc: receptor"
gerBC,66,90,64,87,83,125,64,92,82,93,3691372,3692496,+,chr,BSU35820,lipoprotein component of the germination receptor B,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15774895, 16352818; Product type lp: lipoprotein"
ywtG,52,36,110,47,71,55,53,58,47,100,3692533,3693906,-,chr,BSU35830,carbohydrate transporter,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
ywtF,3753,7405,2599,5333,2739,6550,2571,6612,5836,7000,3694239,3695207,+,chr,BSU35840,transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
ywtE,1112,1143,953,944,816,1103,815,1202,1104,1147,3695363,3696223,+,chr,BSU35850,hydrolase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
pgdS,62,51,72,38,67,68,64,44,42,58,3696257,3697498,-,chr,BSU35860,gamma-DL-glutamyl hydrolase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 12073126, 12644511; Product type e: enzyme"
pgsE,10,25,9,20,4,27,9,33,28,32,3697639,3697806,-,chr,BSU35870,factor required for polyglutamate synthesis,Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 16267300; Product type f: factor
pgsA,52,81,50,60,50,71,37,93,70,83,3697821,3698963,-,chr,BSU35880,capsular polyglutamate synthetase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11606194, 11751809, 12644511; Product type e: enzyme"
pgsC,74,64,69,47,65,54,85,75,65,65,3698982,3699431,-,chr,BSU35890,capsular polyglutamate amide ligase/translocase subunit,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11606194, 11751809, 15849754, 16689787, 16850406; Product type e: enzyme"
pgsB,170,112,135,128,152,142,114,181,122,158,3699446,3700627,-,chr,BSU35900,capsular polyglutamate synthetase,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 11606194, 11751809, 12644511; Product type e : enzyme"
